country,director,language,mins,name,rate,rate_1,rate_2,rate_3,rate_4,rate_5,review_num,year
美国,弗朗西斯·福特·科波拉,英语 / 意大利语 / 拉丁语,175,教父 The Godfather,9.2,0.2%,0.5%,5.5%,24.7%,69.2%,477617,1972
country,director,language,mins,name,rate,rate_1,rate_2,rate_3,rate_4,rate_5,review_num,year
美国,加布里埃莱·穆奇诺,英语 / 粤语,117分钟,当幸福来敲门 The Pursuit of Happyness,9.0,0.1%,0.4%,7.1%,33.2%,59.1%,767029,2008
美国,拜伦·霍华德,英语 / 挪威语,109分钟(中国大陆),疯狂动物城 Zootopia,9.2,0.1%,0.3%,5.4%,30.2%,64.1%,815800,2016
香港,刘伟强,粤语,101分钟,无间道 無間道,9.1,0.1%,0.2%,5.7%,31.2%,62.8%,600149,2003
韩国,黄东赫,韩语,125分钟,熔炉 도가니,9.3,0.1%,0.3%,4.2%,26.8%,68.6%,417900,2011
美国,弗朗西斯·福特·科波拉,英语 / 意大利语 / 拉丁语,175 分钟,教父 The Godfather,9.2,0.2%,0.5%,5.5%,24.7%,69.2%,477618,1972
日本,宫崎骏,日语,86分钟,龙猫 となりのトトロ,9.2,0.1%,0.3%,5.9%,29.5%,64.3%,646568,2018
美国 / 英国 / 加拿大 / 冰岛,克里斯托弗·诺兰,英语,169分钟,星际穿越 Interstellar,9.2,0.4%,0.5%,5.3%,24.9%,68.9%,747565,2014
香港 / 中国大陆,刘镇伟,粤语 / 汉语普通话,95分钟,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,0.3%,0.5%,6.2%,25.9%,67.2%,732004,2014
美国,彼得·威尔,英语,103分钟,楚门的世界 The Truman Show,9.2,0.1%,0.3%,4.8%,29.2%,65.6%,719346,1998
法国 / 瑞士 / 德国,克里斯托夫·巴拉蒂,法语,97分钟,放牛班的春天 Les choristes,9.3,0.1%,0.2%,4.2%,27.9%,67.6%,656035,2004
意大利,朱塞佩·托纳多雷,英语 / 法语 / 意大利语,165分钟,海上钢琴师 La leggenda del pianista sull'oceano,9.2,0.2%,0.5%,5.5%,26.4%,67.4%,784510,1998
印度,拉吉库马尔·希拉尼,印地语 / 乌尔都语 / 英语,171分钟(印度),三傻大闹宝莱坞 3 Idiots,9.2,0.3%,0.6%,5.9%,25.9%,67.3%,949377,2011
美国,安德鲁·斯坦顿,英语,98分钟,机器人总动员 WALL·E,9.3,0.1%,0.2%,4.4%,24.4%,70.9%,704415,2008
美国 / 英国,拉斯·霍尔斯道姆,英语 / 日语,93分钟,忠犬八公的故事 Hachi: A Dog's Tale,9.3,0.1%,0.3%,4.8%,23.9%,70.9%,693317,2009
美国 / 英国,克里斯托弗·诺兰,英语 / 日语 / 法语,148分钟,盗梦空间 Inception,9.3,0.2%,0.3%,4.2%,25.7%,69.7%,1061803,2010
美国,史蒂文·斯皮尔伯格,英语 / 希伯来语 / 德语 / 波兰语,195分钟,辛德勒的名单 Schindler's List,9.5,0.1%,0.1%,2.7%,20.3%,76.8%,547721,1993
法国,奥利维埃·纳卡什,法语,112分钟,触不可及 Intouchables,9.2,0.1%,0.3%,4.9%,29.4%,65.2%,503645,2011
美国,罗伯·莱纳,英语,90分钟,怦然心动 Flipped,9.0,0.1%,0.5%,7.6%,33.0%,58.8%,843388,2010
日本,宫崎骏,日语,125分钟,千与千寻 千と千尋の神隠し,9.3,0.1%,0.2%,4.3%,25.6%,69.8%,976199,2001
美国,詹姆斯·卡梅隆,英语 / 意大利语 / 德语 / 俄语,194分钟,泰坦尼克号 Titanic,9.3,0.1%,0.3%,4.4%,23.7%,71.6%,986220,1998
意大利,罗伯托·贝尼尼,意大利语 / 德语 / 英语,116分钟,美丽人生 La vita è bella,9.5,0.1%,0.2%,2.5%,17.9%,79.2%,613374,1997
美国,罗伯特·泽米吉斯,英语,142分钟,阿甘正传 Forrest Gump,9.4,0.1%,0.2%,3.1%,21.2%,75.5%,1048500,1994
法国,吕克·贝松,英语 / 意大利语 / 法语,110分钟(剧场版),这个杀手不太冷 Léon,9.4,0.1%,0.2%,3.3%,22.4%,74.0%,1218244,1994
中国大陆 / 香港,陈凯歌,汉语普通话,171 分钟,霸王别姬,9.6,0.1%,0.2%,2.3%,16.2%,81.2%,983147,1993
美国,弗兰克·德拉邦特,英语,142分钟,肖申克的救赎 The Shawshank Redemption,9.6,0.1%,0.1%,1.6%,14.2%,84.0%,1331018,1994
美国,彼得·威尔,英语 / 拉丁语,128 分钟,死亡诗社 Dead Poets Society,9.0,0.2%,0.6%,7.4%,32.0%,59.8%,375978,1989
美国,米洛斯·福尔曼,英语,133分钟,飞越疯人院 One Flew Over the Cuckoo's Nest,9.1,0.2%,0.5%,6.7%,31.4%,61.2%,345721,1975
英国,盖·里奇,英语,107分钟,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",9.1,0.2%,0.6%,6.5%,30.8%,61.9%,342829,1998
韩国,杨宇硕,韩语,127分钟,辩护人 변호인,9.2,0.1%,0.3%,4.9%,29.8%,64.8%,303894,2013
美国,马丁·布莱斯特,英语,157 分钟,闻香识女人 Scent of a Woman,9.0,0.1%,0.5%,7.4%,33.9%,58.1%,440332,1992
德国,弗洛里安·亨克尔·冯·多纳斯马尔克,德语,137分钟,窃听风暴 Das Leben der Anderen,9.1,0.1%,0.4%,5.7%,29.9%,63.8%,307855,2006
日本,宫崎骏,日语,119分钟,哈尔的移动城堡 ハウルの動く城,9.0,0.1%,0.5%,8.1%,33.6%,57.8%,497438,2004
英国 / 意大利 / 中国大陆 / 法国 / 美国,贝纳尔多·贝托鲁奇,英语 / 汉语普通话 / 日语 / 俄语,163分钟,末代皇帝 The Last Emperor,9.1,0.1%,0.4%,6.1%,30.9%,62.5%,286415,1987
